   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"         1       277       0       101               "nul"     612   "S_tarson_L"       201       1       141;
       2         1    "Rdog"        42       875       2       142            "ring10"      56   "S_tarson_R"       242       1       125;
       3         0    "Bdog"        10       695       2       110          "reveil11"     263   "S_tarson_R"       210       1       169;
       4         0    "Bdog"         2       230       0       102               "nul"     669   "S_tarson_R"       202       1        72;
       5         1    "Ldog"        21       417       1       121            "Alarm2"     455   "S_tarson_L"       221       1        44;
       6         1    "Rdog"        38       476       1       138           "alarme5"     425   "S_tarson_R"       238       1        51;
       7         1    "Ldog"        17       774       0       117               "nul"      96   "S_tarson_L"       217       1        26;
       8         0    "Bdog"         2       812       0       102               "nul"     173   "S_tarson_R"       202       1        73;
       9         0    "Bdog"         1       335       0       101               "nul"     652   "S_tarson_L"       201       1       100;
      10         0    "Bdog"         6       381       1       106       "telephone19"     498   "S_tarson_R"       206       1       199;
      11         1    "Ldog"        25       660       2       125          "AlarmMix"     300   "S_tarson_L"       225       1       178;
      12         0    "Bdog"         2       613       0       102               "nul"     277   "S_tarson_R"       202       1       169;
      13         0    "Bdog"         5       319       1       105       "telephone17"     639   "S_tarson_L"       205       1        25;
      14         1    "Rdog"        42       743       2       142            "RINGIN"     125   "S_tarson_R"       242       1       169;
      15         1    "Ldog"        17       403       0       117               "nul"     576   "S_tarson_L"       217       1       196;
      16         0    "Bdog"         1       691       0       101               "nul"     189   "S_tarson_L"       201       1        99;
      17         0    "Bdog"        10       650       2       110       "telephone16"     219   "S_tarson_R"       210       1       178;
      18         0    "Bdog"         2       337       0       102               "nul"     535   "S_tarson_R"       202       1        17;
      19         0    "Bdog"         1       379       0       101               "nul"     537   "S_tarson_L"       201       1       109;
      20         0    "Bdog"         2       256       0       102               "nul"     623   "S_tarson_R"       202       1        94;
      21         1    "Ldog"        17       428       0       117               "nul"     550   "S_tarson_L"       217       1        78;
      22         1    "Rdog"        38       266       1       138       "telephone18"     621   "S_tarson_R"       238       1       109;
      23         0    "Bdog"         5       462       1       105             "Alarm"     443   "S_tarson_L"       205       1        86;
      24         0    "Bdog"         1       485       0       101               "nul"     555   "S_tarson_L"       201       1       154;
      25         0    "Bdog"         1       830       0       101               "nul"     154   "S_tarson_L"       201       1       156;
      26         0    "Bdog"         2       531       0       102               "nul"     349   "S_tarson_R"       202       1         6;
      27         1    "Rdog"        34       675       0       134               "nul"     241   "S_tarson_R"       234       1        65;
      28         1    "Ldog"        21       322       1       121             "ring7"     553   "S_tarson_L"       221       1       191;
      29         0    "Bdog"         6       337       1       106         "sonnette9"     667   "S_tarson_R"       206       1       186;
	  30         1    "Ldog"        17       723       0       117               "nul"     164   "S_tarson_L"       217       1        91;
      31         0    "Bdog"        10       769       2       110       "telephone15"      92   "S_tarson_R"       210       1        82;
      32         0    "Bdog"         6       437       1       106       "PhoneRingIn"     549   "S_tarson_R"       206       1       124;
};
