   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1    "Ldog"        17       598       0       117               "nul"     274   "S_tarson_L"       217       1        41;
       2         0    "Bdog"         9       795       2       109            "Alarm2"     103   "S_tarson_L"       209       1       160;
       3         0    "Bdog"         1       266       0       101               "nul"     680   "S_tarson_L"       201       1       103;
       4         0    "Bdog"         6       321       1       106            "Alarm6"     557   "S_tarson_R"       206       1       193;
       5         1    "Ldog"        17       814       0       117               "nul"      64   "S_tarson_L"       217       1       191;
       6         0    "Bdog"         2       518       0       102               "nul"     417   "S_tarson_R"       202       1        29;
       7         1    "Rdog"        42       610       2       142           "reveil6"     265   "S_tarson_R"       242       1        18;
       8         0    "Bdog"         1       793       0       101               "nul"     178   "S_tarson_L"       201       1        25;
       9         1    "Ldog"        17       352       0       117               "nul"     580   "S_tarson_L"       217       1        22;
      10         1    "Rdog"        38       459       1       138           "reveil3"     491   "S_tarson_R"       238       1       122;
      11         1    "Ldog"        21       427       1       121       "PhoneRingIn"     556   "S_tarson_L"       221       1        66;
      12         1    "Ldog"        17       283       0       117               "nul"     596   "S_tarson_L"       217       1       122;
      13         1    "Rdog"        34       816       0       134               "nul"      56   "S_tarson_R"       234       1        14;
      14         0    "Bdog"         1       463       0       101               "nul"     517   "S_tarson_L"       201       1        81;
      15         1    "Rdog"        34       438       0       134               "nul"     483   "S_tarson_R"       234       1        20;
      16         0    "Bdog"         5       371       1       105        "telephone2"     659   "S_tarson_L"       205       1        63;
      17         1    "Rdog"        34       632       0       134               "nul"     301   "S_tarson_R"       234       1       199;
      18         1    "Rdog"        34       315       0       134               "nul"     623   "S_tarson_R"       234       1        86;
      19         0    "Bdog"         2       456       0       102               "nul"     431   "S_tarson_R"       202       1        34;
      20         1    "Rdog"        34       371       0       134               "nul"     558   "S_tarson_R"       234       1        72;
      21         0    "Bdog"         6       249       1       106          "TELEPH01"     623   "S_tarson_R"       206       1        81;
      22         0    "Bdog"         2       666       0       102               "nul"     249   "S_tarson_R"       202       1        44;
      23         0    "Bdog"         1       338       0       101               "nul"     577   "S_tarson_L"       201       1       185;
      24         1    "Ldog"        21       624       1       121       "telephone19"     418   "S_tarson_L"       221       1        41;
      25         0    "Bdog"         1       751       0       101               "nul"     248   "S_tarson_L"       201       1       150;
      26         0    "Bdog"         2       815       0       102               "nul"     193   "S_tarson_R"       202       1        53;
      27         0    "Bdog"         2       221       0       102               "nul"     644   "S_tarson_R"       202       1        80;
      28         0    "Bdog"         2       736       0       102               "nul"     254   "S_tarson_R"       202       1       182;
      29         0    "Bdog"         2       537       0       102               "nul"     440   "S_tarson_R"       202       1        75;
      30         0    "Bdog"        10       818       2       110       "telephone18"     219   "S_tarson_R"       210       1         8;
      31         0    "Bdog"         2       741       0       102               "nul"     222   "S_tarson_R"       202       1        48;
      32         0    "Bdog"         6       392       1       106          "AlarmMix"     490   "S_tarson_R"       206       1        26;
};
