   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"         5       523       1       105            "ring10"     468   "S_tarson_L"       205       1        71;
       2         0    "Bdog"        10       747       2       110        "sonnette10"     222   "S_tarson_R"       210       1        99;
       3         1    "Rdog"        34       688       0       134               "nul"     278   "S_tarson_R"       234       1       102;
       4         1    "Ldog"        17       604       0       117               "nul"     265   "S_tarson_L"       217       1       158;
       5         1    "Rdog"        34       449       0       134               "nul"     470   "S_tarson_R"       234       1        73;
       6         1    "Rdog"        34       540       0       134               "nul"     348   "S_tarson_R"       234       1       164;
       7         0    "Bdog"         9       787       2       109             "ring7"      86   "S_tarson_L"       209       1       195;
       8         1    "Rdog"        42       568       2       142              "DING"     308   "S_tarson_R"       242       1        69;
       9         0    "Bdog"        10       574       2       110           "alarme5"     300   "S_tarson_R"       210       1        38;
      10         1    "Ldog"        25       595       2       125       "telephone16"     340   "S_tarson_L"       225       1       108;
      11         0    "Bdog"         1       364       0       101               "nul"     549   "S_tarson_L"       201       1       148;
      12         1    "Rdog"        34       338       0       134               "nul"     563   "S_tarson_R"       234       1       159;
      13         1    "Ldog"        17       666       0       117               "nul"     195   "S_tarson_L"       217       1        68;
      14         1    "Ldog"        21       504       1       121         "sonnette9"     540   "S_tarson_L"       221       1        42;
      15         0    "Bdog"         9       541       2       109       "telephone20"     322   "S_tarson_L"       209       1       114;
      16         1    "Ldog"        17       678       0       117               "nul"     220   "S_tarson_L"       217       1       119;
      17         1    "Rdog"        38       339       1       138             "Alarm"     662   "S_tarson_R"       238       1       143;
      18         0    "Bdog"         1       766       0       101               "nul"     191   "S_tarson_L"       201       1        13;
      19         1    "Ldog"        25       947       2       125       "telephone15"      83   "S_tarson_L"       225       1        31;
      20         0    "Bdog"         2       695       0       102               "nul"     275   "S_tarson_R"       202       1        16;
      21         1    "Ldog"        17       359       0       117               "nul"     575   "S_tarson_L"       217       1        57;
      22         0    "Bdog"         1       869       0       101               "nul"      95   "S_tarson_L"       201       1       107;
      23         0    "Bdog"         1       299       0       101               "nul"     691   "S_tarson_L"       201       1       105;
      24         1    "Ldog"        17       383       0       117               "nul"     667   "S_tarson_L"       217       1        69;
      25         0    "Bdog"         2       267       0       102               "nul"     613   "S_tarson_R"       202       1       192;
      26         1    "Ldog"        25       595       2       125          "reveil11"     265   "S_tarson_L"       225       1       178;
      27         1    "Ldog"        17       462       0       117               "nul"     528   "S_tarson_L"       217       1       101;
      28         0    "Bdog"         5       275       1       105            "RINGIN"     584   "S_tarson_L"       205       1        31;
      29         0    "Bdog"         1       773       0       101               "nul"     161   "S_tarson_L"       201       1       114;
      30         1    "Rdog"        34       677       0       134               "nul"     279   "S_tarson_R"       234       1        50;
      31         1    "Rdog"        42       815       2       142            "ring20"      65   "S_tarson_R"       242       1        31;
      32         1    "Rdog"        38       452       1       138       "telephone17"     432   "S_tarson_R"       238       1        45;
};
