   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"         5       513       1       105          "TELEPH01"     432   "S_tarson_L"       205       1       163;
       2         0    "Bdog"         1       438       0       101               "nul"     415   "S_tarson_L"       201       1       134;
       3         1    "Ldog"        17       776       0       117               "nul"     235   "S_tarson_L"       217       1       163;
       4         0    "Bdog"         1       454       0       101               "nul"     532   "S_tarson_L"       201       1        99;
       5         1    "Rdog"        38       333       1       138       "telephone19"     678   "S_tarson_R"       238       1         8;
       6         0    "Bdog"         5       438       1       105            "Alarm6"     592   "S_tarson_L"       205       1        54;
       7         1    "Ldog"        25       827       2       125            "ring20"     220   "S_tarson_L"       225       1        29;
       8         1    "Ldog"        17       689       0       117               "nul"     341   "S_tarson_L"       217       1        22;
       9         0    "Bdog"         6       582       1       106            "RINGIN"     407   "S_tarson_R"       206       1        99;
      10         1    "Rdog"        34       652       0       134               "nul"     285   "S_tarson_R"       234       1        76;
      11         0    "Bdog"         1       708       0       101               "nul"     276   "S_tarson_L"       201       1        98;
      12         1    "Ldog"        17       671       0       117               "nul"     225   "S_tarson_L"       217       1        74;
      13         0    "Bdog"         9       538       2       109        "sonnette10"     324   "S_tarson_L"       209       1        18;
      14         0    "Bdog"         1       533       0       101               "nul"     512   "S_tarson_L"       201       1        97;
      15         1    "Rdog"        38       188       1       138       "PhoneRingIn"     662   "S_tarson_R"       238       1        10;
      16         0    "Bdog"         1       721       0       101               "nul"     184   "S_tarson_L"       201       1        82;
      17         0    "Bdog"         2       795       0       102               "nul"      86   "S_tarson_R"       202       1         1;
      18         0    "Bdog"         2       520       0       102               "nul"     457   "S_tarson_R"       202       1         1;
      19         1    "Rdog"        42       721       2       142       "telephone16"     315   "S_tarson_R"       242       1       112;
      20         1    "Ldog"        17       679       0       117               "nul"     298   "S_tarson_L"       217       1       154;
      21         0    "Bdog"         5       501       1       105          "AlarmMix"     471   "S_tarson_L"       205       1       180;
      22         0    "Bdog"         1       354       0       101               "nul"     620   "S_tarson_L"       201       1       183;
      23         1    "Ldog"        21       465       1       121             "Alarm"     583   "S_tarson_L"       221       1        68;
      24         0    "Bdog"         2       564       0       102               "nul"     422   "S_tarson_R"       202       1       154;
      25         1    "Rdog"        34       745       0       134               "nul"     227   "S_tarson_R"       234       1        28;
      26         1    "Rdog"        42       853       2       142       "telephone15"     174   "S_tarson_R"       242       1       139;
      27         0    "Bdog"         2       342       0       102               "nul"     529   "S_tarson_R"       202       1        56;
      28         1    "Ldog"        17       523       0       117               "nul"     467   "S_tarson_L"       217       1        44;
      29         0    "Bdog"         2       420       0       102               "nul"     441   "S_tarson_R"       202       1        88;
      30         0    "Bdog"         2       921       0       102               "nul"      95   "S_tarson_R"       202       1        96;
      31         0    "Bdog"         2       267       0       102               "nul"     622   "S_tarson_R"       202       1        52;
      32         0    "Bdog"         9       728       2       109           "alarme5"     320   "S_tarson_L"       209       1       136;
};
