   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"         2       576       0       102               "nul"     414   "S_tarson_R"       202       1       110;
       2         1    "Rdog"        34       859       0       134               "nul"     183   "S_tarson_R"       234       1       198;
       3         1    "Ldog"        25       539       2       125           "alarme5"     346   "S_tarson_L"       225       1       160;
       4         1    "Rdog"        34       606       0       134               "nul"     298   "S_tarson_R"       234       1       163;
       5         0    "Bdog"         2       797       0       102               "nul"     244   "S_tarson_R"       202       1        19;
       6         0    "Bdog"         1       865       0       101               "nul"     119   "S_tarson_L"       201       1        77;
       7         0    "Bdog"        10       700       2       110           "reveil3"     308   "S_tarson_R"       210       1        68;
       8         0    "Bdog"         2       634       0       102               "nul"     413   "S_tarson_R"       202       1       127;
       9         0    "Bdog"        10       581       2       110             "Alarm"     288   "S_tarson_R"       210       1       164;
      10         0    "Bdog"         1       510       0       101               "nul"     451   "S_tarson_L"       201       1        65;
      11         1    "Rdog"        34       538       0       134               "nul"     499   "S_tarson_R"       234       1        64;
      12         1    "Ldog"        25       746       2       125        "sonnette10"     222   "S_tarson_L"       225       1        45;
      13         0    "Bdog"         2       728       0       102               "nul"     251   "S_tarson_R"       202       1       177;
      14         0    "Bdog"         1       317       0       101               "nul"     536   "S_tarson_L"       201       1        88;
      15         0    "Bdog"         2       569       0       102               "nul"     437   "S_tarson_R"       202       1         3;
      16         0    "Bdog"         5       351       1       105              "DING"     543   "S_tarson_L"       205       1       173;
      17         1    "Rdog"        38       225       1       138            "ring10"     655   "S_tarson_R"       238       1         1;
      18         0    "Bdog"         1       420       0       101               "nul"     571   "S_tarson_L"       201       1       121;
      19         0    "Bdog"         6       281       1       106       "telephone16"     700   "S_tarson_R"       206       1       103;
      20         1    "Ldog"        17       855       0       117               "nul"      59   "S_tarson_L"       217       1       197;
      21         1    "Rdog"        38       332       1       138            "RINGIN"     592   "S_tarson_R"       238       1       163;
      22         0    "Bdog"         1       567       0       101               "nul"     469   "S_tarson_L"       201       1       127;    
	  23         0    "Bdog"        10       624       2       110       "telephone17"     347   "S_tarson_R"       210       1        32;
      24         0    "Bdog"         1       629       0       101               "nul"     296   "S_tarson_L"       201       1       197;
      25         0    "Bdog"         2       408       0       102               "nul"     537   "S_tarson_R"       202       1       189;
      26         1    "Rdog"        42       921       2       142             "ring7"      76   "S_tarson_R"       242       1       158;
      27         1    "Rdog"        34       438       0       134               "nul"     594   "S_tarson_R"       234       1       132;
      28         0    "Bdog"         1       941       0       101               "nul"      50   "S_tarson_L"       201       1         3;
      29         1    "Rdog"        34       425       0       134               "nul"     549   "S_tarson_R"       234       1        52;
      30         1    "Ldog"        17       895       0       117               "nul"     145   "S_tarson_L"       217       1         5;
      31         1    "Rdog"        34       950       0       134               "nul"      97   "S_tarson_R"       234       1       189;
      32         1    "Rdog"        34       548       0       134               "nul"     501   "S_tarson_R"       234       1       175;
};
