   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1    "Ldog"        17       414       0       117               "nul"     534   "S_tarson_L"       217       1        27;
       2         0    "Bdog"         2       394       0       102               "nul"     511   "S_tarson_R"       202       1       102;
       3         1    "Rdog"        38       360       1       138             "ring7"     568   "S_tarson_R"       238       1        18;
       4         1    "Ldog"        25       888       2       125            "RINGIN"      75   "S_tarson_L"       225       1       103;
       5         0    "Bdog"         1       270       0       101               "nul"     662   "S_tarson_L"       201       1       192;
       6         0    "Bdog"         6       330       1       106             "Alarm"     643   "S_tarson_R"       206       1        43;
       7         1    "Rdog"        42       640       2       142          "TELEPH01"     215   "S_tarson_R"       242       1        15;
       8         1    "Ldog"        17       454       0       117               "nul"     484   "S_tarson_L"       217       1        89;
       9         1    "Ldog"        17       712       0       117               "nul"     153   "S_tarson_L"       217       1         4;
      10         1    "Ldog"        17       384       0       117               "nul"     587   "S_tarson_L"       217       1       109;
      11         1    "Rdog"        42       899       2       142          "AlarmMix"     132   "S_tarson_R"       242       1        45;
      12         0    "Bdog"         9       744       2       109       "telephone15"     154   "S_tarson_L"       209       1        64;
      13         1    "Rdog"        38       427       1       138       "telephone20"     477   "S_tarson_R"       238       1        78;
      14         0    "Bdog"         1       536       0       101               "nul"     319   "S_tarson_L"       201       1        59;
      15         0    "Bdog"         1       473       0       101               "nul"     514   "S_tarson_L"       201       1         3;
      16         1    "Ldog"        21       223       1       121        "sonnette10"     649   "S_tarson_L"       221       1        33;
      17         0    "Bdog"         6       363       1       106       "telephone17"     635   "S_tarson_R"       206       1        15;
      18         1    "Rdog"        34       823       0       134               "nul"      88   "S_tarson_R"       234       1        97;
      19         0    "Bdog"        10       722       2       110            "ring20"     327   "S_tarson_R"       210       1        63;
      20         1    "Ldog"        21       524       1       121           "alarme5"     503   "S_tarson_L"       221       1         3;
      21         0    "Bdog"         2       477       0       102               "nul"     525   "S_tarson_R"       202       1       178;
      22         1    "Rdog"        34       462       0       134               "nul"     459   "S_tarson_R"       234       1       157;
      23         0    "Bdog"         2       236       0       102               "nul"     654   "S_tarson_R"       202       1       113;
      24         0    "Bdog"         5       414       1       105       "PhoneRingIn"     551   "S_tarson_L"       205       1         1;
      25         1    "Ldog"        17       717       0       117               "nul"     294   "S_tarson_L"       217       1       111;
      26         0    "Bdog"         1       538       0       101               "nul"     460   "S_tarson_L"       201       1       131;
      27         1    "Rdog"        42       644       2       142            "Alarm6"     296   "S_tarson_R"       242       1         7;
      28         1    "Rdog"        34       563       0       134               "nul"     445   "S_tarson_R"       234       1       189;
      29         0    "Bdog"         1       754       0       101               "nul"     142   "S_tarson_L"       201       1       176;
      30         1    "Rdog"        38       411       1       138            "Alarm2"     617   "S_tarson_R"       238       1        11;
      31         1    "Rdog"        34       605       0       134               "nul"     426   "S_tarson_R"       234       1        68;
      32         1    "Rdog"        34       796       0       134               "nul"     152   "S_tarson_R"       234       1        75;
};
