   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"         2       851       0       102               "nul"     131   "S_tarson_R"       202       1       119;
       2         0    "Bdog"        10       883       2       110          "AlarmMix"      72   "S_tarson_R"       210       1        83;
       3         1    "Rdog"        42       730       2       142             "Alarm"     133   "S_tarson_R"       242       1        36;
       4         1    "Ldog"        17       781       0       117               "nul"      77   "S_tarson_L"       217       1       127;
       5         0    "Bdog"         6       439       1       106       "telephone20"     572   "S_tarson_R"       206       1         3;
       6         0    "Bdog"         2       410       0       102               "nul"     592   "S_tarson_R"       202       1       151;
       7         1    "Rdog"        34       372       0       134               "nul"     595   "S_tarson_R"       234       1        17;
       8         0    "Bdog"         6       541       1       106             "ring7"     506   "S_tarson_R"       206       1        36;
       9         0    "Bdog"         2       693       0       102               "nul"     221   "S_tarson_R"       202       1        63;
      10         1    "Ldog"        17       325       0       117               "nul"     528   "S_tarson_L"       217       1        23;
      11         1    "Rdog"        38       345       1       138       "telephone16"     693   "S_tarson_R"       238       1       171;
      12         1    "Ldog"        21       366       1       121           "reveil6"     621   "S_tarson_L"       221       1       140;
      13         0    "Bdog"         1       644       0       101               "nul"     348   "S_tarson_L"       201       1        11;
      14         1    "Rdog"        38       255       1       138       "telephone15"     662   "S_tarson_R"       238       1        22;
      15         1    "Rdog"        34       448       0       134               "nul"     574   "S_tarson_R"       234       1       199;
      16         0    "Bdog"         5       527       1       105        "sonnette10"     521   "S_tarson_L"       205       1       187;
      17         1    "Rdog"        38       270       1       138          "reveil11"     653   "S_tarson_R"       238       1        65;
      18         1    "Ldog"        17       220       0       117               "nul"     672   "S_tarson_L"       217       1       171;
      19         1    "Rdog"        34       512       0       134               "nul"     486   "S_tarson_R"       234       1       145;
      20         0    "Bdog"        10       672       2       110            "Alarm6"     215   "S_tarson_R"       210       1        50;
      21         0    "Bdog"         1       684       0       101               "nul"     217   "S_tarson_L"       201       1        84;
      22         1    "Rdog"        34       701       0       134               "nul"     343   "S_tarson_R"       234       1        70;
      23         1    "Rdog"        34       312       0       134               "nul"     634   "S_tarson_R"       234       1       131;
      24         0    "Bdog"         2       795       0       102               "nul"      81   "S_tarson_R"       202       1        91;
      25         1    "Ldog"        17       808       0       117               "nul"     138   "S_tarson_L"       217       1       191;
      26         1    "Ldog"        21       554       1       121            "ring20"     433   "S_tarson_L"       221       1       145;
      27         1    "Rdog"        34       760       0       134               "nul"     143   "S_tarson_R"       234       1       134;
      28         1    "Ldog"        21       196       1       121              "DING"     687   "S_tarson_L"       221       1       111;
      29         0    "Bdog"         1       754       0       101               "nul"     166   "S_tarson_L"       201       1        87;
      30         0    "Bdog"         2       360       0       102               "nul"     530   "S_tarson_R"       202       1       180;
      31         1    "Rdog"        34       639       0       134               "nul"     282   "S_tarson_R"       234       1       174;
      32         1    "Rdog"        42       684       2       142       "telephone17"     207   "S_tarson_R"       242       1        74;

};
