   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"        10       702       2       110            "Alarm2"     315   "S_tarson_R"       210       1        30;
       2         1    "Ldog"        17       600       0       117               "nul"     258   "S_tarson_L"       217       1       156;
       3         0    "Bdog"         1       711       0       101               "nul"     231   "S_tarson_L"       201       1        99;
       4         1    "Ldog"        21       533       1       121       "telephone17"     505   "S_tarson_L"       221       1       196;
       5         1    "Rdog"        34       509       0       134               "nul"     418   "S_tarson_R"       234       1        11;
       6         0    "Bdog"         6       388       1       106            "ring10"     511   "S_tarson_R"       206       1        91;
       7         1    "Ldog"        17       369       0       117               "nul"     674   "S_tarson_L"       217       1       134;
       8         0    "Bdog"         1       675       0       101               "nul"     308   "S_tarson_L"       201       1       113;
       9         1    "Rdog"        34       470       0       134               "nul"     514   "S_tarson_R"       234       1        73;
      10         0    "Bdog"        10       764       2       110             "ring7"     143   "S_tarson_R"       210       1        72;
      11         0    "Bdog"         2       979       0       102               "nul"      70   "S_tarson_R"       202       1        72;
      12         1    "Rdog"        34       613       0       134               "nul"     401   "S_tarson_R"       234       1        59;
      13         1    "Rdog"        42       729       2       142          "reveil11"     320   "S_tarson_R"       242       1       134;
      14         1    "Rdog"        38       338       1       138         "sonnette9"     547   "S_tarson_R"       238       1        97;
      15         1    "Ldog"        17       405       0       117               "nul"     621   "S_tarson_L"       217       1       199;
      16         1    "Ldog"        25       906       2       125           "reveil6"      52   "S_tarson_L"       225       1       168;
      17         1    "Rdog"        34       921       0       134               "nul"      75   "S_tarson_R"       234       1       174;
      18         1    "Ldog"        21       633       1       121           "reveil3"     412   "S_tarson_L"       221       1       118;
      19         1    "Ldog"        25       739       2       125              "DING"     173   "S_tarson_L"       225       1       182;
      20         0    "Bdog"         1       752       0       101               "nul"     204   "S_tarson_L"       201       1        58;
      21         0    "Bdog"         2       833       0       102               "nul"      75   "S_tarson_R"       202       1        47;
      22         0    "Bdog"         6       564       1       106        "telephone2"     464   "S_tarson_R"       206       1        49;
      23         0    "Bdog"         1       436       0       101               "nul"     448   "S_tarson_L"       201       1        30;
      24         0    "Bdog"         2       899       0       102               "nul"      67   "S_tarson_R"       202       1        76;
      25         1    "Ldog"        17       575       0       117               "nul"     422   "S_tarson_L"       217       1       137;
      26         1    "Rdog"        34       421       0       134               "nul"     449   "S_tarson_R"       234       1       157;
      27         1    "Rdog"        34       919       0       134               "nul"      74   "S_tarson_R"       234       1       100;
      28         0    "Bdog"        10       681       2       110       "telephone20"     227   "S_tarson_R"       210       1       122;
      29         1    "Rdog"        34       795       0       134               "nul"      91   "S_tarson_R"       234       1        85;
      30         1    "Rdog"        34       597       0       134               "nul"     427   "S_tarson_R"       234       1        66;
      31         1    "Ldog"        17       314       0       117               "nul"     678   "S_tarson_L"       217       1        43;
      32         0    "Bdog"         9       725       2       109       "telephone18"     183   "S_tarson_L"       209       1       171;
};
