   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1    "Rdog"        38       477       1       138              "DING"     488   "S_tarson_R"       238       1        69;
       2         0    "Bdog"         1       381       0       101               "nul"     534   "S_tarson_L"       201       1       189;
       3         0    "Bdog"         2       389       0       102               "nul"     563   "S_tarson_R"       202       1       110;
       4         1    "Ldog"        21       244       1       121          "reveil11"     696   "S_tarson_L"       221       1       112;
       5         1    "Rdog"        34       931       0       134               "nul"      77   "S_tarson_R"       234       1        11;
       6         1    "Rdog"        42       801       2       142       "telephone19"     151   "S_tarson_R"       242       1       155;
       7         1    "Rdog"        34       460       0       134               "nul"     414   "S_tarson_R"       234       1       106;
       8         1    "Ldog"        17       674       0       117               "nul"     203   "S_tarson_L"       217       1        92;
       9         1    "Ldog"        21       423       1       121       "telephone15"     534   "S_tarson_L"       221       1       166;
      10         0    "Bdog"         2       611       0       102               "nul"     278   "S_tarson_R"       202       1       156;
      11         0    "Bdog"         1       757       0       101               "nul"     290   "S_tarson_L"       201       1       106;
      12         0    "Bdog"         2       855       0       102               "nul"      74   "S_tarson_R"       202       1       175;
      13         0    "Bdog"         1       728       0       101               "nul"     259   "S_tarson_L"       201       1       169;
      14         1    "Rdog"        34       676       0       134               "nul"     312   "S_tarson_R"       234       1       151;
      15         0    "Bdog"         5       526       1       105             "ring7"     511   "S_tarson_L"       205       1        18;
      16         1    "Ldog"        25       849       2       125           "reveil3"      58   "S_tarson_L"       225       1       183;
      17         0    "Bdog"         1       946       0       101               "nul"      71   "S_tarson_L"       201       1       187;
      18         1    "Ldog"        17       412       0       117               "nul"     588   "S_tarson_L"       217       1       147;
      19         1    "Ldog"        17       828       0       117               "nul"     139   "S_tarson_L"       217       1        52;
      20         1    "Ldog"        25       885       2       125       "telephone17"      96   "S_tarson_L"       225       1       150;
      21         0    "Bdog"         2       484       0       102               "nul"     410   "S_tarson_R"       202       1        18;
      22         1    "Ldog"        25       707       2       125             "Alarm"     311   "S_tarson_L"       225       1       179;
      23         0    "Bdog"         1       356       0       101               "nul"     514   "S_tarson_L"       201       1       181;
      24         0    "Bdog"        10       711       2       110            "ring10"     245   "S_tarson_R"       210       1       113;
      25         1    "Ldog"        17       587       0       117               "nul"     407   "S_tarson_L"       217       1        38;
      26         0    "Bdog"         6       298       1       106        "sonnette10"     649   "S_tarson_R"       206       1        47;
      27         1    "Ldog"        17       361       0       117               "nul"     563   "S_tarson_L"       217       1        23;
      28         1    "Rdog"        42       544       2       142         "sonnette9"     312   "S_tarson_R"       242       1       100;
      29         1    "Rdog"        34       373       0       134               "nul"     554   "S_tarson_R"       234       1        49;
      30         1    "Ldog"        17       687       0       117               "nul"     206   "S_tarson_L"       217       1        19;
      31         1    "Rdog"        42       856       2       142       "PhoneRingIn"      68   "S_tarson_R"       242       1        29;
      32         0    "Bdog"         1       583       0       101               "nul"     433   "S_tarson_L"       201       1       184;
};
