   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1    "Rdog"        34       486       0       134               "nul"     549   "S_tarson_R"       234       1       101;
       2         0    "Bdog"        10       801       2       110       "telephone19"      67   "S_tarson_R"       210       1       118;
       3         1    "Ldog"        17       676       0       117               "nul"     215   "S_tarson_L"       217       1        53;
       4         1    "Rdog"        42       615       2       142           "alarme5"     247   "S_tarson_R"       242       1       117;
       5         0    "Bdog"         1       432       0       101               "nul"     470   "S_tarson_L"       201       1        62;
       6         1    "Ldog"        17       415       0       117               "nul"     595   "S_tarson_L"       217       1        48;
       7         0    "Bdog"         5       444       1       105       "telephone16"     441   "S_tarson_L"       205       1        30;
       8         0    "Bdog"        10       843       2       110         "sonnette9"     138   "S_tarson_R"       210       1       199;
       9         0    "Bdog"         2       795       0       102               "nul"      83   "S_tarson_R"       202       1        81;
      10         1    "Ldog"        17       379       0       117               "nul"     480   "S_tarson_L"       217       1       175;
      11         1    "Rdog"        38       387       1       138            "Alarm6"     474   "S_tarson_R"       238       1        51;
      12         0    "Bdog"         1       736       0       101               "nul"     277   "S_tarson_L"       201       1        73;
      13         1    "Rdog"        34       804       0       134               "nul"      76   "S_tarson_R"       234       1        51;
      14         1    "Rdog"        34       511       0       134               "nul"     452   "S_tarson_R"       234       1        98;
      15         0    "Bdog"         9       610       2       109             "Alarm"     257   "S_tarson_L"       209       1        45;
      16         0    "Bdog"         2       834       0       102               "nul"     140   "S_tarson_R"       202       1        35;
      17         0    "Bdog"         9       548       2       109           "reveil3"     343   "S_tarson_L"       209       1       193;
      18         0    "Bdog"         1       527       0       101               "nul"     412   "S_tarson_L"       201       1       199;
      19         0    "Bdog"         1       702       0       101               "nul"     159   "S_tarson_L"       201       1       132;
      20         1    "Ldog"        17       522       0       117               "nul"     452   "S_tarson_L"       217       1       121;
      21         0    "Bdog"         2       468       0       102               "nul"     471   "S_tarson_R"       202       1        29;
      22         0    "Bdog"         1       338       0       101               "nul"     556   "S_tarson_L"       201       1        97;
      23         1    "Rdog"        34       531       0       134               "nul"     453   "S_tarson_R"       234       1        36;
      24         1    "Rdog"        42       642       2       142        "sonnette10"     266   "S_tarson_R"       242       1       124;
      25         1    "Rdog"        38       439       1       138          "TELEPH01"     568   "S_tarson_R"       238       1         1;
      26         1    "Ldog"        25       916       2       125       "telephone20"     116   "S_tarson_L"       225       1       139;
      27         0    "Bdog"         6       456       1       106           "reveil6"     435   "S_tarson_R"       206       1        30;
      28         1    "Rdog"        34       411       0       134               "nul"     500   "S_tarson_R"       234       1        81;
      29         0    "Bdog"         2       642       0       102               "nul"     235   "S_tarson_R"       202       1        10;
      30         0    "Bdog"         5       603       1       105          "reveil11"     431   "S_tarson_L"       205       1        60;
      31         1    "Ldog"        25       741       2       125            "Alarm2"     113   "S_tarson_L"       225       1       138;
      32         1    "Rdog"        34       965       0       134               "nul"      75   "S_tarson_R"       234       1        17;
};
