   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1    "Ldog"        17       390       0       117               "nul"     567   "S_tarson_L"       217       1       161;
       2         0    "Bdog"         6       244       1       106           "alarme5"     692   "S_tarson_R"       206       1        37;
       3         1    "Rdog"        38       543       1       138           "reveil6"     486   "S_tarson_R"       238       1       137;
       4         1    "Rdog"        34       771       0       134               "nul"     195   "S_tarson_R"       234       1         4;
       5         0    "Bdog"        10       780       2       110        "telephone2"     267   "S_tarson_R"       210       1       117;
       6         1    "Rdog"        34       678       0       134               "nul"     245   "S_tarson_R"       234       1        95;
       7         1    "Rdog"        34       267       0       134               "nul"     693   "S_tarson_R"       234       1       155;
       8         0    "Bdog"         5       367       1       105       "telephone20"     513   "S_tarson_L"       205       1       102;
       9         1    "Ldog"        21       429       1       121       "telephone16"     567   "S_tarson_L"       221       1       142;
      10         1    "Rdog"        34       613       0       134               "nul"     419   "S_tarson_R"       234       1       176;
      11         0    "Bdog"         9       877       2       109          "AlarmMix"      63   "S_tarson_L"       209       1       113;
      12         1    "Ldog"        17       804       0       117               "nul"      72   "S_tarson_L"       217       1        38;
      13         0    "Bdog"         9       656       2       109          "TELEPH01"     197   "S_tarson_L"       209       1       164;
      14         0    "Bdog"         1       507       0       101               "nul"     526   "S_tarson_L"       201       1        86;
      15         1    "Ldog"        17       802       0       117               "nul"      78   "S_tarson_L"       217       1        41;
      16         0    "Bdog"         1       378       0       101               "nul"     570   "S_tarson_L"       201       1        57;
      17         0    "Bdog"         1       642       0       101               "nul"     333   "S_tarson_L"       201       1       109;
      18         0    "Bdog"         2       323       0       102               "nul"     558   "S_tarson_R"       202       1       189;
      19         1    "Ldog"        17       354       0       117               "nul"     669   "S_tarson_L"       217       1        88;
      20         1    "Rdog"        38       464       1       138            "ring20"     532   "S_tarson_R"       238       1       109;
      21         0    "Bdog"         2       675       0       102               "nul"     329   "S_tarson_R"       202       1       132;
      22         0    "Bdog"         6       424       1       106       "telephone18"     471   "S_tarson_R"       206       1       135;
      23         0    "Bdog"         5       410       1       105            "Alarm2"     636   "S_tarson_L"       205       1       103;
      24         1    "Rdog"        34       791       0       134               "nul"     197   "S_tarson_R"       234       1       124;
      25         0    "Bdog"         1       739       0       101               "nul"     200   "S_tarson_L"       201       1        57;
      26         0    "Bdog"         2       740       0       102               "nul"     185   "S_tarson_R"       202       1       136;
      27         1    "Rdog"        34       442       0       134               "nul"     465   "S_tarson_R"       234       1        90;
      28         0    "Bdog"        10       737       2       110            "RINGIN"     145   "S_tarson_R"       210       1        32;
      29         0    "Bdog"         2       234       0       102               "nul"     667   "S_tarson_R"       202       1       159;
      30         0    "Bdog"         9       772       2       109            "Alarm6"     218   "S_tarson_L"       209       1        16;
      31         0    "Bdog"         2       234       0       102               "nul"     632   "S_tarson_R"       202       1       195;
      32         0    "Bdog"         2       690       0       102               "nul"     272   "S_tarson_R"       202       1        62;
};
