   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"         2       690       0       102               "nul"     250   "S_tarson_R"       202       1       151;
       2         1    "Ldog"        25       574       2       125       "telephone18"     307   "S_tarson_L"       225       1        37;
       3         1    "Ldog"        21       631       1       121          "AlarmMix"     412   "S_tarson_L"       221       1       189;
       4         1    "Ldog"        17       439       0       117               "nul"     544   "S_tarson_L"       217       1        49;
       5         1    "Rdog"        34       752       0       134               "nul"     264   "S_tarson_R"       234       1       194;
       6         1    "Ldog"        17       366       0       117               "nul"     529   "S_tarson_L"       217       1       129;
       7         0    "Bdog"         5       307       1       105            "ring20"     611   "S_tarson_L"       205       1       159;
       8         0    "Bdog"         9       729       2       109         "sonnette9"     154   "S_tarson_L"       209       1       100;
       9         0    "Bdog"         1       298       0       101               "nul"     562   "S_tarson_L"       201       1       174;
      10         1    "Ldog"        21       443       1       121          "TELEPH01"     598   "S_tarson_L"       221       1        17;
      11         1    "Rdog"        42       813       2       142            "Alarm2"      81   "S_tarson_R"       242       1       191;
      12         0    "Bdog"         9       746       2       109       "telephone19"     164   "S_tarson_L"       209       1       147;
      13         1    "Ldog"        17       708       0       117               "nul"     206   "S_tarson_L"       217       1       193;
      14         0    "Bdog"         5       570       1       105           "reveil6"     442   "S_tarson_L"       205       1        67;
      15         1    "Ldog"        17       713       0       117               "nul"     239   "S_tarson_L"       217       1       127;
      16         1    "Rdog"        34       692       0       134               "nul"     198   "S_tarson_R"       234       1        44;
      17         1    "Ldog"        17       857       0       117               "nul"     120   "S_tarson_L"       217       1       140;
      18         1    "Rdog"        42       813       2       142       "telephone20"      57   "S_tarson_R"       242       1       197;
	  19         0    "Bdog"         1       655       0       101               "nul"     208   "S_tarson_L"       201       1       190;
      20         0    "Bdog"         2       411       0       102               "nul"     589   "S_tarson_R"       202       1       120;
      21         1    "Ldog"        17       294       0       117               "nul"     682   "S_tarson_L"       217       1       178;
      22         0    "Bdog"         6       302       1       106          "reveil11"     604   "S_tarson_R"       206       1       131;
      23         0    "Bdog"         2       646       0       102               "nul"     257   "S_tarson_R"       202       1        98;
      24         0    "Bdog"         9       546       2       109       "PhoneRingIn"     328   "S_tarson_L"       209       1       115;
      25         1    "Ldog"        17       523       0       117               "nul"     481   "S_tarson_L"       217       1         9;
      26         1    "Rdog"        34       447       0       134               "nul"     473   "S_tarson_R"       234       1       111;
      27         0    "Bdog"         6       389       1       106       "telephone15"     644   "S_tarson_R"       206       1       182;
      28         0    "Bdog"         2       702       0       102               "nul"     284   "S_tarson_R"       202       1       161;
      29         1    "Ldog"        21       321       1       121            "Alarm6"     647   "S_tarson_L"       221       1        52;
      30         1    "Ldog"        17       429       0       117               "nul"     520   "S_tarson_L"       217       1         7;
      31         0    "Bdog"         1       783       0       101               "nul"      83   "S_tarson_L"       201       1         9;
      32         1    "Rdog"        38       557       1       138        "telephone2"     430   "S_tarson_R"       238       1       165;
};
