   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0    "Bdog"         2       360       0       102               "nul"     644   "S_tarson_R"       202       1       192;
       2         1    "Ldog"        25       658       2       125            "Alarm6"     298   "S_tarson_L"       225       1       130;
       3         1    "Rdog"        34       509       0       134               "nul"     453   "S_tarson_R"       234       1        78;
       4         0    "Bdog"         1       233       0       101               "nul"     685   "S_tarson_L"       201       1        71;
       5         0    "Bdog"         2       815       0       102               "nul"     157   "S_tarson_R"       202       1       131;
       6         1    "Rdog"        34       291       0       134               "nul"     600   "S_tarson_R"       234       1        27;
       7         1    "Ldog"        21       342       1       121       "telephone20"     566   "S_tarson_L"       221       1       103;
       8         1    "Rdog"        34       354       0       134               "nul"     567   "S_tarson_R"       234       1         2;
       9         1    "Ldog"        17       202       0       117               "nul"     692   "S_tarson_L"       217       1        28;
      10         1    "Rdog"        34       554       0       134               "nul"     326   "S_tarson_R"       234       1        87;
      11         1    "Ldog"        17       760       0       117               "nul"     271   "S_tarson_L"       217       1       134;
      12         1    "Ldog"        17       522       0       117               "nul"     515   "S_tarson_L"       217       1       180;
      13         0    "Bdog"         1       884       0       101               "nul"      85   "S_tarson_L"       201       1       157;
      14         1    "Ldog"        25       592       2       125          "TELEPH01"     315   "S_tarson_L"       225       1       185;
      15         1    "Rdog"        34       400       0       134               "nul"     577   "S_tarson_R"       234       1       146;
      16         0    "Bdog"         9       793       2       109           "reveil6"      63   "S_tarson_L"       209       1         8;
      17         0    "Bdog"         1       788       0       101               "nul"     115   "S_tarson_L"       201       1       192;
      18         0    "Bdog"         5       216       1       105           "reveil3"     655   "S_tarson_L"       205       1       161;
      19         1    "Ldog"        17       908       0       117               "nul"      82   "S_tarson_L"       217       1        85;
      20         0    "Bdog"         2       345       0       102               "nul"     546   "S_tarson_R"       202       1        31;
      21         1    "Rdog"        34       854       0       134               "nul"     136   "S_tarson_R"       234       1        20;
      22         0    "Bdog"         9       615       2       109              "DING"     318   "S_tarson_L"       209       1       194;
      23         0    "Bdog"         1       742       0       101               "nul"     168   "S_tarson_L"       201       1       113;
      24         1    "Rdog"        34       415       0       134               "nul"     519   "S_tarson_R"       234       1        99;
      25         1    "Rdog"        34       928       0       134               "nul"     115   "S_tarson_R"       234       1         5;
      26         1    "Rdog"        38       546       1       138        "sonnette10"     456   "S_tarson_R"       238       1         4;
      27         0    "Bdog"         2       573       0       102               "nul"     308   "S_tarson_R"       202       1        13;
      28         1    "Rdog"        34       863       0       134               "nul"     158   "S_tarson_R"       234       1        13;
      29         1    "Ldog"        17       369       0       117               "nul"     654   "S_tarson_L"       217       1       123;
      30         1    "Rdog"        42       797       2       142        "telephone2"     250   "S_tarson_R"       242       1       158;
      31         1    "Ldog"        17       707       0       117               "nul"     314   "S_tarson_L"       217       1        66;
      32         0    "Bdog"         9       794       2       109            "ring20"     210   "S_tarson_L"       209       1        96;
};
