   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1    "Ldog"        17       759       0       117               "nul"     129   "S_tarson_L"       217       1         3;
       2         0    "Bdog"         2       845       0       102               "nul"     114   "S_tarson_R"       202       1        12;
       3         0    "Bdog"        10       839       2       110          "TELEPH01"     146   "S_tarson_R"       210       1       168;
       4         1    "Ldog"        17       311       0       117               "nul"     639   "S_tarson_L"       217       1        43;
       5         1    "Ldog"        17       805       0       117               "nul"     222   "S_tarson_L"       217       1        96;
       6         0    "Bdog"         5       243       1       105           "alarme5"     684   "S_tarson_L"       205       1       177;
       7         1    "Ldog"        25       834       2       125         "sonnette9"     214   "S_tarson_L"       225       1        21;
       8         0    "Bdog"         1       807       0       101               "nul"      60   "S_tarson_L"       201       1       180;
       9         0    "Bdog"         1       214       0       101               "nul"     679   "S_tarson_L"       201       1        96;
      10         1    "Rdog"        34       715       0       134               "nul"     179   "S_tarson_R"       234       1       101;
      11         0    "Bdog"         1       320       0       101               "nul"     645   "S_tarson_L"       201       1        11;
      12         0    "Bdog"         5       282       1       105       "telephone18"     624   "S_tarson_L"       205       1       168;
      13         1    "Ldog"        17       545       0       117               "nul"     497   "S_tarson_L"       217       1        36;
      14         0    "Bdog"         6       191       1       106            "Alarm2"     693   "S_tarson_R"       206       1        69;
      15         0    "Bdog"         9       709       2       109            "RINGIN"     325   "S_tarson_L"       209       1        93;
      16         1    "Ldog"        17       645       0       117               "nul"     348   "S_tarson_L"       217       1       140;
      17         0    "Bdog"         2       880       0       102               "nul"     117   "S_tarson_R"       202       1       135;
      18         0    "Bdog"         9       550       2       109            "ring10"     309   "S_tarson_L"       209       1         2;
      19         1    "Rdog"        34       460       0       134               "nul"     489   "S_tarson_R"       234       1       151;
      20         0    "Bdog"         2       559       0       102               "nul"     416   "S_tarson_R"       202       1       119;
      21         1    "Rdog"        42       671       2       142           "reveil3"     244   "S_tarson_R"       242       1       176;
      22         1    "Ldog"        17       276       0       117               "nul"     662   "S_tarson_L"       217       1       115;
      23         0    "Bdog"         2       288       0       102               "nul"     601   "S_tarson_R"       202       1        77;
      24         0    "Bdog"         1       434       0       101               "nul"     466   "S_tarson_L"       201       1        85;
      25         1    "Rdog"        34       704       0       134               "nul"     244   "S_tarson_R"       234       1        24;
      26         1    "Ldog"        25       803       2       125       "PhoneRingIn"     153   "S_tarson_L"       225       1        28;
      27         0    "Bdog"         1       312       0       101               "nul"     584   "S_tarson_L"       201       1        74;
      28         1    "Ldog"        25       526       2       125       "telephone19"     333   "S_tarson_L"       225       1       120;
      29         0    "Bdog"         1       348       0       101               "nul"     579   "S_tarson_L"       201       1        55;
      30         0    "Bdog"         1       593       0       101               "nul"     309   "S_tarson_L"       201       1        54;
      31         0    "Bdog"         2       524       0       102               "nul"     429   "S_tarson_R"       202       1       158;
      32         0    "Bdog"         9       916       2       109        "telephone2"      62   "S_tarson_L"       209       1        18;
};
